coder,doi,aim,performance.type,group,variable,value,section,BLOC,existence,fulfillment
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Land Use or Land Change,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Biodiversity Impacts,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Pollution,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,env.opps,Non-specified,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,pollution,Air,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Increasing Food Security,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Chris,10.1038/s41538-022-00172-0,Acceptance,,2,Food.safety,Reducing risk of Contaminants,Introduction,Opportunity,1,0.5
