doi,title,url,publisherID,journalID,dateCreated,references,referencedBy,funder_name,funder_doi,aim
10.1002/adma.202102660,Tethering Cells via Enzymatic Oxidative Crosslinking Enables Mechanotransduction in Non‐Cell‐Adhesive Materials,https://doi.org/10.1002/adma.202102660,Wiley,Advanced Materials,2021-09-03,96,19,National Institutes of Health,10.13039/100000002,Scaffolding
10.1016/j.appet.2024.107297,"Meat and morality: The moral foundation of purity, but not harm, predicts attitudes toward cultured meat",https://doi.org/10.1016/j.appet.2024.107297,Elsevier BV,Appetite,2024-03-07,67,8,Merck KGaA,10.13039/100009945,Acceptance
10.1016/j.fufo.2024.100443,Assessment of plant- and microbial-derived protein hydrolysates as sustainable for fetal bovine serum in seafood cell culture media,https://doi.org/10.1016/j.fufo.2024.100443,Elsevier BV,Future Foods,2024-08-24,53,8,USDA,10.13039/100000199,Media
10.1007/s00425-024-04456-5,Production of biologically active human basic fibroblast growth factor (hFGFb) using Nicotiana tabacum transplastomic plants,https://doi.org/10.1007/s00425-024-04456-5,Springer Science and Business Media LLC,Planta,2024-06-15,44,1,ANPCyT,10.13039/501100003074,Media
10.1016/j.foodqual.2024.105208,"Comparing motivations and barriers to reduce meat and adopt protein alternatives amongst meat-eaters in Australia, China and the UK",https://doi.org/10.1016/j.foodqual.2024.105208,Elsevier BV,Food Quality and Preference,2024-04-29,144,19,University of Nottingham,10.13039/501100000837,Acceptance
10.1016/j.foodqual.2024.105208,"Comparing motivations and barriers to reduce meat and adopt protein alternatives amongst meat-eaters in Australia, China and the UK",https://doi.org/10.1016/j.foodqual.2024.105208,Elsevier BV,Food Quality and Preference,2024-04-29,144,19,University of Adelaide,10.13039/501100001786,Acceptance
10.1016/j.appet.2017.03.009,"Meet meat: An explorative study on meat and cultured meat as seen by Chinese, Ethiopians and Dutch",https://doi.org/10.1016/j.appet.2017.03.009,Elsevier BV,Appetite,2017-03-16,38,83,Dutch Ministry of Economic Affairs,NA,Acceptance
10.3390/app12094688,Direct Conversion of Bovine Dermal Fibroblasts into Myotubes by Viral Delivery of Transcription Factor bMyoD,https://doi.org/10.3390/app12094688,MDPI AG,Applied Sciences,2022-05-06,65,3,Korea Evaluation Institute of Industrial Technology (KEIT),10.13039/501100003662,Process
10.3390/app12094688,Direct Conversion of Bovine Dermal Fibroblasts into Myotubes by Viral Delivery of Transcription Factor bMyoD,https://doi.org/10.3390/app12094688,MDPI AG,Applied Sciences,2022-05-06,65,3,National Research Foundation of Korea (NRF),10.13039/501100003725,Process
10.1016/j.jfoodeng.2024.112259,Mechanical properties and texture profile analysis of beef burgers and plant-based analogues,https://doi.org/10.1016/j.jfoodeng.2024.112259,Elsevier BV,Journal of Food Engineering,2024-08-08,66,11,EPSRC,10.13039/501100000266,Process
10.1007/s11626-024-00963-7,Conditions for establishing fin primary cell cultures in a wide range of ray-finned fishes,https://doi.org/10.1007/s11626-024-00963-7,Springer Science and Business Media LLC,In Vitro Cellular &amp; Developmental Biology - Animal,2024-08-08,42,2,Fundação de Amparo à Pesquisa do Estado de São Paulo,10.13039/501100001807,Cell Sources
10.1016/j.scitotenv.2023.164988,Toward sustainable culture media: Using artificial intelligence to optimize reduced-serum formulations for cultivated meat,https://doi.org/10.1016/j.scitotenv.2023.164988,Elsevier BV,Science of The Total Environment,2023-06-19,62,32,USDA,10.13039/100000199,Media
10.1038/s42003-022-03423-8,Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat,https://doi.org/10.1038/s42003-022-03423-8,Springer Science and Business Media LLC,Communications Biology,2022-06-02,42,184,U.S. Department of Health & Human Services | National Institutes of Health,10.13039/100000002,Media
10.1186/s40100-023-00278-3,"Adaption of the meat attachment scale (MEAS) to Germany: interplay with food neophobia, preference for organic foods, social trust and trust in food technology innovations",https://doi.org/10.1186/s40100-023-00278-3,Springer Science and Business Media LLC,Agricultural and Food Economics,2023-09-19,79,9,Universität Kassel,10.13039/501100012687,Acceptance
10.3390/bioengineering11080854,Bovine Placentome-Derived Extracellular Matrix: A Sustainable 3D Scaffold for Cultivated Meat,https://doi.org/10.3390/bioengineering11080854,MDPI AG,Bioengineering,2024-08-26,70,2,Atelier Meats Corporation,NA,Scaffolding
10.1111/faf.12541,The long and narrow path for novel cell‐based seafood to reduce fishing pressure for marine ecosystem recovery,https://doi.org/10.1111/faf.12541,Wiley,Fish and Fisheries,2021-02-10,88,25,National Philanthropic Trust,10.13039/100001263,Performance
10.3390/su141912501,Factors Affecting Consumers’ Cultivated Meat Purchase Intentions,https://doi.org/10.3390/su141912501,MDPI AG,Sustainability,2022-10-10,81,13,Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,10.13039/501100002322,Acceptance
10.1155/2024/1027972,"Citrus sunki Peel Extract, Containing Nobiletin and Tangeretin, Enhances Proliferation and Differentiation in 3T3-L1 Adipocytes",https://doi.org/10.1155/2024/1027972,Wiley,Journal of Food Biochemistry,2024-03-14,84,0,"Ministry of Agriculture, Food and Rural Affairs",10.13039/501100003624,Media
10.1155/2024/1027972,"Citrus sunki Peel Extract, Containing Nobiletin and Tangeretin, Enhances Proliferation and Differentiation in 3T3-L1 Adipocytes",https://doi.org/10.1155/2024/1027972,Wiley,Journal of Food Biochemistry,2024-03-14,84,0,"Ministry of Education, South Korea",10.13039/501100002701,Media
10.1016/j.foodres.2022.111561,Production of cultured meat by culturing porcine smooth muscle cells in vitro with food grade peanut wire-drawing protein scaffold,https://doi.org/10.1016/j.foodres.2022.111561,Elsevier BV,Food Research International,2022-06-23,42,50,National Natural Science Foundation of China,10.13039/501100001809,Scaffolding
10.1016/j.foodres.2022.111561,Production of cultured meat by culturing porcine smooth muscle cells in vitro with food grade peanut wire-drawing protein scaffold,https://doi.org/10.1016/j.foodres.2022.111561,Elsevier BV,Food Research International,2022-06-23,42,50,Nanjing Agricultural University,10.13039/501100008562,Scaffolding
10.1016/j.foodres.2022.111561,Production of cultured meat by culturing porcine smooth muscle cells in vitro with food grade peanut wire-drawing protein scaffold,https://doi.org/10.1016/j.foodres.2022.111561,Elsevier BV,Food Research International,2022-06-23,42,50,National Key Research and Development Program of China,10.13039/501100012166,Scaffolding
10.1016/j.foodres.2022.111818,Quality evaluation of cultured meat with plant protein scaffold,https://doi.org/10.1016/j.foodres.2022.111818,Elsevier BV,Food Research International,2022-08-24,43,26,National Natural Science Foundation of China,10.13039/501100001809,Scaffolding
10.1016/j.foodres.2022.111818,Quality evaluation of cultured meat with plant protein scaffold,https://doi.org/10.1016/j.foodres.2022.111818,Elsevier BV,Food Research International,2022-08-24,43,26,Nanjing Agricultural University,10.13039/501100008562,Scaffolding
10.1016/j.foodres.2022.111818,Quality evaluation of cultured meat with plant protein scaffold,https://doi.org/10.1016/j.foodres.2022.111818,Elsevier BV,Food Research International,2022-08-24,43,26,National Key Research and Development Program of China,10.13039/501100012166,Scaffolding
10.1039/d1fo04340d,Vitamin C enhances the <i>ex vivo</i> proliferation of porcine muscle stem cells for cultured meat production,https://doi.org/10.1039/d1fo04340d,Royal Society of Chemistry (RSC),Food &amp; Function,2022-04-05,51,27,National Natural Science Foundation of China,10.13039/501100001809,Media
10.1039/d1fo04340d,Vitamin C enhances the <i>ex vivo</i> proliferation of porcine muscle stem cells for cultured meat production,https://doi.org/10.1039/d1fo04340d,Royal Society of Chemistry (RSC),Food &amp; Function,2022-04-05,51,27,National Key Research and Development Program of China,10.13039/501100012166,Media
10.1039/d1fo04340d,Vitamin C enhances the <i>ex vivo</i> proliferation of porcine muscle stem cells for cultured meat production,https://doi.org/10.1039/d1fo04340d,Royal Society of Chemistry (RSC),Food &amp; Function,2022-04-05,51,27,Natural Science Foundation of Jiangsu Province,10.13039/501100004608,Media
10.1039/d1fo04340d,Vitamin C enhances the <i>ex vivo</i> proliferation of porcine muscle stem cells for cultured meat production,https://doi.org/10.1039/d1fo04340d,Royal Society of Chemistry (RSC),Food &amp; Function,2022-04-05,51,27,Fundamental Research Funds for the Central Universities,10.13039/501100012226,Media
10.1016/j.foodhyd.2024.110369,3D printing of plant-based fat inks towards manufacturing complex cellular agriculture products with fatty structures,https://doi.org/10.1016/j.foodhyd.2024.110369,Elsevier BV,Food Hydrocolloids,2024-07-02,70,7,European Commission,10.13039/501100000780,Scaffolding
10.1016/j.foodhyd.2024.110369,3D printing of plant-based fat inks towards manufacturing complex cellular agriculture products with fatty structures,https://doi.org/10.1016/j.foodhyd.2024.110369,Elsevier BV,Food Hydrocolloids,2024-07-02,70,7,Fundação para a Ciência e a Tecnologia,10.13039/501100001871,Scaffolding
10.1007/s11569-018-0330-0,Visions of In Vitro Meat among Experts and Stakeholders,https://doi.org/10.1007/s11569-018-0330-0,Springer Science and Business Media LLC,NanoEthics,2018-11-06,35,15,BMBF Germany,NA,Stakeholders
10.1016/j.foodqual.2024.105102,"Complexity of consumer acceptance to alternative protein foods in a multiethnic Asian population: A comparison of plant-based meat alternatives, cultured meat, and insect-based products",https://doi.org/10.1016/j.foodqual.2024.105102,Elsevier BV,Food Quality and Preference,2024-01-07,42,31,Ministry of Health -Singapore,10.13039/501100001350,Acceptance
10.1016/j.foodqual.2024.105102,"Complexity of consumer acceptance to alternative protein foods in a multiethnic Asian population: A comparison of plant-based meat alternatives, cultured meat, and insect-based products",https://doi.org/10.1016/j.foodqual.2024.105102,Elsevier BV,Food Quality and Preference,2024-01-07,42,31,National University of Singapore,10.13039/501100001352,Acceptance
10.1016/j.foodqual.2024.105102,"Complexity of consumer acceptance to alternative protein foods in a multiethnic Asian population: A comparison of plant-based meat alternatives, cultured meat, and insect-based products",https://doi.org/10.1016/j.foodqual.2024.105102,Elsevier BV,Food Quality and Preference,2024-01-07,42,31,Universitas Nasional,10.13039/100018366,Acceptance
10.1016/j.foodqual.2024.105102,"Complexity of consumer acceptance to alternative protein foods in a multiethnic Asian population: A comparison of plant-based meat alternatives, cultured meat, and insect-based products",https://doi.org/10.1016/j.foodqual.2024.105102,Elsevier BV,Food Quality and Preference,2024-01-07,42,31,Ministry of Education - Singapore,10.13039/501100001459,Acceptance
10.1007/s11947-024-03414-z,Exploring Functionality Gain for (Recombinant) β-Lactoglobulin Through Production and Processing Interventions,https://doi.org/10.1007/s11947-024-03414-z,Springer Science and Business Media LLC,Food and Bioprocess Technology,2024-05-01,51,1,Deutsche Forschungsgemeinschaft,10.13039/501100001659,MIN
10.1007/s11947-024-03414-z,Exploring Functionality Gain for (Recombinant) β-Lactoglobulin Through Production and Processing Interventions,https://doi.org/10.1007/s11947-024-03414-z,Springer Science and Business Media LLC,Food and Bioprocess Technology,2024-05-01,51,1,Eurostars,10.13039/100013297,MIN
10.1007/s12015-023-10535-z,Static Magnetic Fields Promote Generation of Muscle Lineage Cells from Pluripotent Stem Cells and Myoblasts,https://doi.org/10.1007/s12015-023-10535-z,Springer Science and Business Media LLC,Stem Cell Reviews and Reports,2023-04-04,54,3,the National Natural Science Foundation of China,10.13039/501100001809,Cell Differentiation
10.1007/s12015-023-10535-z,Static Magnetic Fields Promote Generation of Muscle Lineage Cells from Pluripotent Stem Cells and Myoblasts,https://doi.org/10.1007/s12015-023-10535-z,Springer Science and Business Media LLC,Stem Cell Reviews and Reports,2023-04-04,54,3,the Natural Science Foundation of Jiangsu Province,NA,Cell Differentiation
10.1007/s12015-023-10535-z,Static Magnetic Fields Promote Generation of Muscle Lineage Cells from Pluripotent Stem Cells and Myoblasts,https://doi.org/10.1007/s12015-023-10535-z,Springer Science and Business Media LLC,Stem Cell Reviews and Reports,2023-04-04,54,3,the Jiangsu Agricultural Science and Technology Innovative Fund,NA,Cell Differentiation
10.3390/foods12142682,The Effect of Long-Term Passage on Porcine SMCs’ Function and the Improvement of TGF-β1 on Porcine SMCs’ Secretory Function in Late Passage,https://doi.org/10.3390/foods12142682,MDPI AG,Foods,2023-07-13,63,1,National Natural Science Foundation of China for Young Scientists,NA,Cell Differentiation
10.3390/foods12142682,The Effect of Long-Term Passage on Porcine SMCs’ Function and the Improvement of TGF-β1 on Porcine SMCs’ Secretory Function in Late Passage,https://doi.org/10.3390/foods12142682,MDPI AG,Foods,2023-07-13,63,1,Jiangsu Natural Science Foundation for Young Scientists,NA,Cell Differentiation
10.3390/foods12142682,The Effect of Long-Term Passage on Porcine SMCs’ Function and the Improvement of TGF-β1 on Porcine SMCs’ Secretory Function in Late Passage,https://doi.org/10.3390/foods12142682,MDPI AG,Foods,2023-07-13,63,1,Jiangsu Key Research and Development Plan (Modern Agriculture),NA,Cell Differentiation
10.3390/foods12142682,The Effect of Long-Term Passage on Porcine SMCs’ Function and the Improvement of TGF-β1 on Porcine SMCs’ Secretory Function in Late Passage,https://doi.org/10.3390/foods12142682,MDPI AG,Foods,2023-07-13,63,1,Fundamental Research Funds for the Central Universities,10.13039/501100012226,Cell Differentiation
10.3390/foods12142682,The Effect of Long-Term Passage on Porcine SMCs’ Function and the Improvement of TGF-β1 on Porcine SMCs’ Secretory Function in Late Passage,https://doi.org/10.3390/foods12142682,MDPI AG,Foods,2023-07-13,63,1,Jiangsu Synergetic Innovation Center of Meat Processing and Quality Control,NA,Cell Differentiation
10.3390/foods10123116,Extracellular Matrix and the Production of Cultured Meat,https://doi.org/10.3390/foods10123116,MDPI AG,Foods,2021-12-15,109,39,This work was supported by the 2019 Yeungnam University Research Grant.,NA,Scaffolding
10.1016/j.foodhyd.2017.05.036,Correlating network structure with functional properties of capillary alginate gels for muscle fiber formation,https://doi.org/10.1016/j.foodhyd.2017.05.036,Elsevier BV,Food Hydrocolloids,2017-06-01,34,34,VINN Excellence Centers SuMo Biomaterials,NA,Scaffolding
10.1016/j.foodhyd.2017.05.036,Correlating network structure with functional properties of capillary alginate gels for muscle fiber formation,https://doi.org/10.1016/j.foodhyd.2017.05.036,Elsevier BV,Food Hydrocolloids,2017-06-01,34,34,Vinnova's Vinnmer program,NA,Scaffolding
10.3389/fnut.2019.00103,The Impact of Framing on Acceptance of Cultured Meat,https://doi.org/10.3389/fnut.2019.00103,Frontiers Media SA,Frontiers in Nutrition,2019-07-03,75,158,Economic and Social Research Council,10.13039/501100000269,Acceptance
10.1038/s41467-024-49521-5,Flavor-switchable scaffold for cultured meat with enhanced aromatic properties,https://doi.org/10.1038/s41467-024-49521-5,Springer Science and Business Media LLC,Nature Communications,2024-07-09,57,9,Korea Institute of Marine Science and Technology promotion,10.13039/501100011705,Scaffolding
10.1038/s41467-024-49521-5,Flavor-switchable scaffold for cultured meat with enhanced aromatic properties,https://doi.org/10.1038/s41467-024-49521-5,Springer Science and Business Media LLC,Nature Communications,2024-07-09,57,9,National Research Foundation of Korea,10.13039/501100003725,Scaffolding
10.3390/su13158235,Stated Preferences for Plant-Based and Cultured Meat: A Choice Experiment Study of Spanish Consumers,https://doi.org/10.3390/su13158235,MDPI AG,Sustainability,2021-07-23,102,28,Junta de Extremadura,10.13039/501100014181,Acceptance
10.3390/su13158235,Stated Preferences for Plant-Based and Cultured Meat: A Choice Experiment Study of Spanish Consumers,https://doi.org/10.3390/su13158235,MDPI AG,Sustainability,2021-07-23,102,28,European Regional Development Fund,10.13039/501100008530,Acceptance
10.1021/acsbiomaterials.3c00358,Optimization of Culture Media and Cell Ratios for 3D <i>In Vitro</i> Skeletal Muscle Tissues with Endothelial Cells,https://doi.org/10.1021/acsbiomaterials.3c00358,American Chemical Society (ACS),ACS Biomaterials Science &amp; Engineering,2023-06-16,49,0,Advanced Research Projects Agency,10.13039/100009224,Process
10.1021/acsbiomaterials.3c00358,Optimization of Culture Media and Cell Ratios for 3D <i>In Vitro</i> Skeletal Muscle Tissues with Endothelial Cells,https://doi.org/10.1021/acsbiomaterials.3c00358,American Chemical Society (ACS),ACS Biomaterials Science &amp; Engineering,2023-06-16,49,0,National Institutes of Health,10.13039/100000002,Process
10.1021/acsbiomaterials.3c00358,Optimization of Culture Media and Cell Ratios for 3D <i>In Vitro</i> Skeletal Muscle Tissues with Endothelial Cells,https://doi.org/10.1021/acsbiomaterials.3c00358,American Chemical Society (ACS),ACS Biomaterials Science &amp; Engineering,2023-06-16,49,0,U.S. Department of Agriculture,10.13039/100000199,Process
10.3390/foods12234275,Effect of Ultrasound and Salt on Structural and Physical Properties of Sodium Alginate/Soy Protein Isolates Composite Fiber,https://doi.org/10.3390/foods12234275,MDPI AG,Foods,2023-11-27,51,8,National Natural Science Foundation of China,10.13039/501100001809,Scaffolding
10.1038/s41538-021-00090-7,Formation of contractile 3D bovine muscle tissue for construction of millimetre-thick cultured steak,https://doi.org/10.1038/s41538-021-00090-7,Springer Science and Business Media LLC,npj Science of Food,2021-03-02,35,131,MEXT | Japan Science and Technology Agency,10.13039/501100002241,Scaffolding
10.1016/j.fufo.2024.100412,"Toxicological risks of dairy proteins produced through cellular agriculture: Current state of knowledge, challenges and future perspectives",https://doi.org/10.1016/j.fufo.2024.100412,Elsevier BV,Future Foods,2024-06-27,84,12,Dutch Research Council,10.13039/501100003246,Process
10.3390/nu15132935,"Exploring Ethical, Ecological, and Health Factors Influencing the Acceptance of Cultured Meat among Generation Y and Generation Z",https://doi.org/10.3390/nu15132935,MDPI AG,Nutrients,2023-06-29,88,4,Internal Grant Agency (IGA) of FEM CULS in Prague,NA,Acceptance
10.1080/22041451.2024.2324405,Singapore media and novel foods: how new innovations and food categories are made and negotiated through mainstream and social media,https://doi.org/10.1080/22041451.2024.2324405,Informa UK Limited,Communication Research and Practice,2024-04-12,45,5,"Ministry of Education (MOE), Singapore",10.13039/501100001459,Education
10.1016/j.foodcont.2021.108336,Alternative proteins and EU food law,https://doi.org/10.1016/j.foodcont.2021.108336,Elsevier BV,Food Control,2021-06-21,84,83,Interreg,10.13039/100013276,Regulations
10.1016/j.foodcont.2021.108336,Alternative proteins and EU food law,https://doi.org/10.1016/j.foodcont.2021.108336,Elsevier BV,Food Control,2021-06-21,84,83,Academy of Finland,10.13039/501100002341,Regulations
10.1016/j.foodcont.2021.108336,Alternative proteins and EU food law,https://doi.org/10.1016/j.foodcont.2021.108336,Elsevier BV,Food Control,2021-06-21,84,83,European Regional Development Fund,10.13039/501100008530,Regulations
10.1016/j.foodqual.2024.105132,Germans' attitudes toward the microbial protein Solein® and willingness to consume it – The effect of information-based framing,https://doi.org/10.1016/j.foodqual.2024.105132,Elsevier BV,Food Quality and Preference,2024-02-10,93,1,Deutsche Forschungsgemeinschaft,10.13039/501100001659,Acceptance
10.1016/j.foodqual.2024.105132,Germans' attitudes toward the microbial protein Solein® and willingness to consume it – The effect of information-based framing,https://doi.org/10.1016/j.foodqual.2024.105132,Elsevier BV,Food Quality and Preference,2024-02-10,93,1,Universität Osnabrück,10.13039/501100016379,Acceptance
10.1038/s41538-022-00155-1,Production of scaffold-free cell-based meat using cell sheet technology,https://doi.org/10.1038/s41538-022-00155-1,Springer Science and Business Media LLC,npj Science of Food,2022-09-03,47,45,MEXT | Japan Science and Technology Agency,10.13039/501100002241,Scaffolding
10.1080/01292986.2024.2342827,Examining public perceptions of cultivated meat in Singapore: food neophobia and neophilia as precursors to the influence of presumed media influence model,https://doi.org/10.1080/01292986.2024.2342827,Informa UK Limited,Asian Journal of Communication,2024-04-23,66,0,Ministry of Education - Singapore,10.13039/501100001459,Acceptance
10.1080/01292986.2024.2342827,Examining public perceptions of cultivated meat in Singapore: food neophobia and neophilia as precursors to the influence of presumed media influence model,https://doi.org/10.1080/01292986.2024.2342827,Informa UK Limited,Asian Journal of Communication,2024-04-23,66,0,Academic Research Fund Tier 1,NA,Acceptance
10.3390/jfb14040218,Bovine Fibroblast-Derived Extracellular Matrix Promotes the Growth and Preserves the Stemness of Bovine Stromal Cells during In Vitro Expansion,https://doi.org/10.3390/jfb14040218,MDPI AG,Journal of Functional Biomaterials,2023-04-13,59,4,"Atelier Meats (Vancouver, Canada)",NA,Scaffolding
10.3390/jfb14040218,Bovine Fibroblast-Derived Extracellular Matrix Promotes the Growth and Preserves the Stemness of Bovine Stromal Cells during In Vitro Expansion,https://doi.org/10.3390/jfb14040218,MDPI AG,Journal of Functional Biomaterials,2023-04-13,59,4,"Laboratory for Biomaterials Research, Rutgers University",NA,Scaffolding
10.1177/2514848620963125,Magical disruption? Alternative protein and the promise of de-materialization,https://doi.org/10.1177/2514848620963125,SAGE Publications,Environment and Planning E: Nature and Space,2020-10-07,43,29,National Science Foundation,10.13039/100000001,Ethics
10.3390/su16031138,Implications of Food Culture and Practice on the Acceptance of Alternative Meat,https://doi.org/10.3390/su16031138,MDPI AG,Sustainability,2024-01-29,45,0,JSPS KAKENHI,NA,Acceptance
10.3390/su16031138,Implications of Food Culture and Practice on the Acceptance of Alternative Meat,https://doi.org/10.3390/su16031138,MDPI AG,Sustainability,2024-01-29,45,0,Ajinomoto Foundation for Dietary Culture,NA,Acceptance
10.3390/su16031138,Implications of Food Culture and Practice on the Acceptance of Alternative Meat,https://doi.org/10.3390/su16031138,MDPI AG,Sustainability,2024-01-29,45,0,Kyushu Sangyo University 2023 funding,NA,Acceptance
10.1021/acs.jafc.3c09713,3D Porous Edible Scaffolds from Rye Secalin for Cell-Based Pork Fat Tissue Culturing,https://doi.org/10.1021/acs.jafc.3c09713,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,2024-05-11,34,4,National University of Singapore,10.13039/501100001352,Scaffolding
10.1021/acs.jafc.3c09713,3D Porous Edible Scaffolds from Rye Secalin for Cell-Based Pork Fat Tissue Culturing,https://doi.org/10.1021/acs.jafc.3c09713,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,2024-05-11,34,4,Outstanding Youth Foundation of Jiangsu Province,10.13039/501100010035,Scaffolding
10.1021/acs.jafc.3c09713,3D Porous Edible Scaffolds from Rye Secalin for Cell-Based Pork Fat Tissue Culturing,https://doi.org/10.1021/acs.jafc.3c09713,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,2024-05-11,34,4,Jiangsu Funding Program for Excellent Postdoctoral Talent,NA,Scaffolding
10.1016/j.foodqual.2023.105032,Evaluations of meat substitutes in Brazil: Differences between vegetarians and omnivores and the role of vegetarian threat,https://doi.org/10.1016/j.foodqual.2023.105032,Elsevier BV,Food Quality and Preference,2023-10-28,47,5,Narodowe Centrum Nauki,10.13039/501100004281,Acceptance
10.1021/acsami.2c21702,Soy Protein Amyloid Fibril Scaffold for Cultivated Meat Application,https://doi.org/10.1021/acsami.2c21702,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2023-03-14,68,57,Primary Research and Development Plan of Zhejiang Province,10.13039/501100013145,Scaffolding
10.1021/acsami.2c21702,Soy Protein Amyloid Fibril Scaffold for Cultivated Meat Application,https://doi.org/10.1021/acsami.2c21702,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2023-03-14,68,57,National Natural Science Foundation of China,10.13039/501100001809,Scaffolding
10.1021/acsami.2c21702,Soy Protein Amyloid Fibril Scaffold for Cultivated Meat Application,https://doi.org/10.1021/acsami.2c21702,American Chemical Society (ACS),ACS Applied Materials &amp; Interfaces,2023-03-14,68,57,Zhejiang University of Technology,10.13039/501100008327,Scaffolding
10.5851/kosfa.2024.e27,"Laminin as a Key Extracellular Matrix for Proliferation, Differentiation, and Maturation of Porcine Muscle Stem Cell Cultivation",https://doi.org/10.5851/kosfa.2024.e27,Korean Society for Food Science of Animal Resources,Food Science of Animal Resources,2024-03-25,34,5,Korea Evaluation Institute of Industrial Technology,10.13039/501100003662,Scaffolding
10.5851/kosfa.2024.e27,"Laminin as a Key Extracellular Matrix for Proliferation, Differentiation, and Maturation of Porcine Muscle Stem Cell Cultivation",https://doi.org/10.5851/kosfa.2024.e27,Korean Society for Food Science of Animal Resources,Food Science of Animal Resources,2024-03-25,34,5,National Research Foundation of Korea,10.13039/501100003725,Scaffolding
10.1111/ajsp.12609,The link between people's social perceptions of cultivated meat eaters and their acceptance of cultivated meat,https://doi.org/10.1111/ajsp.12609,Wiley,Asian Journal of Social Psychology,2024-03-22,46,0,Singapore Management University,10.13039/501100014790,Acceptance
10.5851/kosfa.2020.e39,"Optimization of Culture Conditions for Maintaining Pig Muscle Stem
                    Cells In Vitro",https://doi.org/10.5851/kosfa.2020.e39,Korean Society for Food Science of Animal Resources,Food Science of Animal Resources,2020-05-21,31,32,National Research Foundation of Korea,10.13039/501100003725,Cell Sources
10.5851/kosfa.2020.e39,"Optimization of Culture Conditions for Maintaining Pig Muscle Stem
                    Cells In Vitro",https://doi.org/10.5851/kosfa.2020.e39,Korean Society for Food Science of Animal Resources,Food Science of Animal Resources,2020-05-21,31,32,"Ministry of Agriculture, Food, and Rural
                                Affairs",10.13039/501100003624,Cell Sources
10.1016/j.foodhyd.2024.110156,Production of sodium alginate-gelatin composite hydrogel-based 3D cultured fat with low cholesterol and high polyunsaturated fatty acids,https://doi.org/10.1016/j.foodhyd.2024.110156,Elsevier BV,Food Hydrocolloids,2024-05-02,65,7,National Natural Science Foundation of China,10.13039/501100001809,Scaffolding
10.1016/j.biomaterials.2021.121267,Homemade bread: Repurposing an ancient technology for in vitro tissue engineering,https://doi.org/10.1016/j.biomaterials.2021.121267,Elsevier BV,Biomaterials,2021-11-19,56,23,Canada Foundation for Innovation,10.13039/501100000196,Scaffolding
10.1016/j.biomaterials.2021.121267,Homemade bread: Repurposing an ancient technology for in vitro tissue engineering,https://doi.org/10.1016/j.biomaterials.2021.121267,Elsevier BV,Biomaterials,2021-11-19,56,23,Canada Research Chairs,10.13039/501100001804,Scaffolding
10.1016/j.biomaterials.2021.121267,Homemade bread: Repurposing an ancient technology for in vitro tissue engineering,https://doi.org/10.1016/j.biomaterials.2021.121267,Elsevier BV,Biomaterials,2021-11-19,56,23,Li Ka Shing Foundation,10.13039/100007421,Scaffolding
10.1016/j.biomaterials.2021.121267,Homemade bread: Repurposing an ancient technology for in vitro tissue engineering,https://doi.org/10.1016/j.biomaterials.2021.121267,Elsevier BV,Biomaterials,2021-11-19,56,23,Natural Sciences and Engineering Research Council of Canada,10.13039/501100000038,Scaffolding
10.1007/s11947-024-03552-4,Preparation of Novel Double Cross-Linked Hydrogels of Dietary Fibers and Proteins from Soybeans as Scaffolds for Cultured Meat,https://doi.org/10.1007/s11947-024-03552-4,Springer Science and Business Media LLC,Food and Bioprocess Technology,2024-08-12,33,1,National Key R&D Program of China,10.13039/501100012166,Scaffolding
10.1016/j.fufo.2024.100395,Lactogenic treatment effects on milk synthesis genes and protein secretion in cultured bovine mammary epithelial cells,https://doi.org/10.1016/j.fufo.2024.100395,Elsevier BV,Future Foods,2024-06-13,40,1,Danish Agricultural Agency,10.13039/501100018941,Cell Differentiation
10.1007/s11158-016-9331-4,"Chewing Over In Vitro Meat: Animal Ethics, Cannibalism and Social Progress",https://doi.org/10.1007/s11158-016-9331-4,Springer Science and Business Media LLC,Res Publica,2016-09-05,49,33,"Department for Employment and Learning, Northern Ireland",10.13039/100008303,Ethics
10.1021/acs.biomac.2c01068,Cell Adhesion Motif-Functionalized Lipopeptides: Nanostructure and Selective Myoblast Cytocompatibility,https://doi.org/10.1021/acs.biomac.2c01068,American Chemical Society (ACS),Biomacromolecules,2022-12-15,135,12,Engineering and Physical Sciences Research Council,10.13039/501100000266,Scaffolding
10.1021/acs.biomac.2c01068,Cell Adhesion Motif-Functionalized Lipopeptides: Nanostructure and Selective Myoblast Cytocompatibility,https://doi.org/10.1021/acs.biomac.2c01068,American Chemical Society (ACS),Biomacromolecules,2022-12-15,135,12,Funda??o de Amparo ? Pesquisa do Estado de S?o Paulo,10.13039/501100001807,Scaffolding
10.1016/j.heliyon.2024.e38006,Obtaining source material for cellular agriculture,https://doi.org/10.1016/j.heliyon.2024.e38006,Elsevier BV,Heliyon,2024-09-17,56,1,UNSW,10.13039/501100001773,Cell Sources
