doi,value
10.1007/s12571-023-01390-4,Food Safety Improvements
10.1007/s10943-017-0403-3,Food Safety Improvements
10.1016/j.jafr.2022.100358,Food Safety Improvements
10.1016/j.foodres.2024.114425,Food Safety Improvements
10.1016/j.foodqual.2022.104573,Food Safety Improvements
10.1007/s11569-017-0282-9,Food Safety Improvements
10.1007/s11356-022-23597-2,Food Safety Improvements
10.3934/agrfood.2024021,Food Safety Improvements
10.1016/j.biomaterials.2022.121543,Food Safety Improvements
10.1016/j.isci.2022.105054,Food Safety Improvements
10.1002/bit.27469,Food Safety Improvements
10.3390/foods9020185,Food Safety Improvements
10.1016/j.biomaterials.2022.121659,Food Safety Improvements
10.1016/j.matdes.2024.112992,Food Safety Improvements
10.1016/j.MEATsci.2022.109081,Food Safety Improvements
10.3390/su15054009,Food Safety Improvements
10.1038/s41538-024-00257-y,Food Safety Improvements
10.1016/j.fbio.2022.101766,Food Safety Improvements
10.1016/j.foodhyd.2024.110412,Food Safety Improvements
10.1016/j.foodpol.2022.102376,Food Safety Improvements
10.1080/09505431.2016.1171836,Food Safety Improvements
10.1016/j.livsci.2021.104705,Health Concerns
10.3390/su13137430,Health Concerns
10.1038/s41538-019-0041-0,Health Concerns
10.1371/journal.pone.0290169,Health Concerns
10.1007/s10806-019-09759-2,Health Concerns
10.1016/S2095-3119(14)60886-8,Health Concerns
10.1016/j.livsci.2022.104909,Health Concerns
10.3389/fsufs.2023.1127164,Health Concerns
10.3389/fnut.2020.00148,Health Concerns
10.1371/journal.pone.0221129,Health Concerns
10.1016/j.appet.2020.104860,Health Concerns
10.3389/fsufs.2023.1134100,Health Concerns
10.22434/IFAMR2022.0017,Health Concerns
10.3389/fnut.2023.1196475,Health Concerns
10.1007/s10806-015-9573-8,Health Concerns
10.3390/cells13020135,Health Concerns
10.1016/j.fufo.2024.100297,Health Concerns
10.1016/j.appet.2024.107240,Health Concerns
10.1108/BFJ-09-2021-0987,Health Concerns
10.1016/j.foodqual.2024.105208,Health Concerns
10.3390/nu15214649,Health Concerns
10.3390/su141912501,Health Concerns
10.3389/fsufs.2023.1302511,Health Concerns
10.1002/fft2.165,Health Concerns
10.1016/j.foodqual.2024.105102,Health Concerns
10.1371/journal.pone.0251432,Health Concerns
10.1108/BFJ-01-2018-0025,Health Concerns
10.1177/09717218221075158,Health Concerns
10.3390/su13158235,Health Concerns
10.1016/j.MEATsci.2022.108964,Health Concerns
10.3390/nu15132935,Health Concerns
10.3390/foods12142645,Health Concerns
10.1016/j.foodres.2022.111952,Health Concerns
10.3389/fsufs.2019.00128,Health Concerns
10.1016/j.foodqual.2023.105032,Health Concerns
10.3390/su14126956,Health Concerns
10.1080/00036846.2024.2408035,Health Concerns
10.3390/su15129253,Health Concerns
10.1016/j.MEATsci.2022.108776,Health Concerns
10.1016/j.foodqual.2023.105060,Health Concerns
10.1016/j.foodqual.2022.104573,Health Concerns
10.1007/s11356-022-23597-2,Health Concerns
10.3934/agrfood.2024021,Health Concerns
10.1108/BFJ-02-2020-0092,Health Concerns
10.1016/j.MEATsci.2023.109191,Health Concerns
10.1016/j.foodpol.2022.102376,Health Concerns
10.1007/s10806-019-09759-2,Health Issues
10.3389/fsufs.2023.1134100,Health Issues
10.3390/foods12142645,Health Issues
10.1021/acsbiomaterials.2c01521,Health Issues
10.3390/foods12071384,Health Issues
10.1021/acsami.2c10620,Health Issues
10.1007/s00425-024-04456-5,Health Issues
10.1038/s41467-024-49521-5,Health Issues
10.1080/01292986.2024.2342827,Health Issues
10.1111/ajsp.12609,Health Issues
10.3934/agrfood.2024021,Health Issues
10.1016/j.jfca.2024.106663,Humans
10.1002/bit.28324,Humans
10.1016/j.ifset.2024.103734,Humans
10.3389/fsufs.2023.1127164,Humans
10.1016/j.livsci.2021.104705,Humans
10.1016/j.MEATsci.2019.04.004,Humans
10.3389/fsufs.2023.1160458,Humans
10.1353/con.2013.0013,Humans
10.1038/s41538-019-0041-0,Humans
10.1016/j.biomaterials.2022.121615,Humans
10.1016/j.techsoc.2022.102116,Humans
10.1016/j.appet.2022.106392,Humans
10.1016/j.foodpol.2020.101931,Humans
10.1038/s41598-018-28746-7,Humans
10.1371/journal.pone.0290169,Humans
10.1016/j.fbio.2022.101571,Humans
10.3390/cells13010041,Humans
10.3390/foods13040563,Humans
10.1038/s41538-022-00172-0,Humans
10.1038/s41538-022-00157-z,Humans
10.5851/kosfa.2022.e61,Humans
10.3390/cells10092499,Humans
10.1007/s10806-019-09759-2,Humans
10.5851/kosfa.2024.e46,Humans
10.1016/j.fbio.2023.102910,Humans
10.3390/foods10112588,Humans
10.1016/j.foodres.2023.113757,Humans
10.1016/j.foodqual.2021.104226,Humans
10.1016/S2095-3119(14)60886-8,Humans
10.1021/acsabm.3c00944,Humans
10.3390/nu11081904,Humans
10.1038/s41538-024-00262-1,Humans
10.3390/bios14010024,Humans
10.1016/j.foodhyd.2024.109944,Humans
10.1016/j.livsci.2022.104909,Humans
10.1016/j.carbpol.2023.121287,Humans
10.1016/j.appet.2022.105990,Humans
10.1016/j.biomaterials.2022.121649,Humans
10.1080/09505431.2018.1544232,Humans
10.3390/conservation3020021,Humans
10.1016/j.meatsci.2019.04.004,Humans
10.3389/fnut.2020.00148,Humans
10.1002/cite.202200151,Humans
10.1016/j.biomaterials.2021.121155,Humans
10.1371/journal.pone.0221129,Humans
10.1016/j.appet.2020.104860,Humans
10.1016/j.crfs.2024.100841,Humans
10.3390/foods13091358,Humans
10.1016/j.crbiot.2024.100241,Humans
10.3389/fsufs.2023.1104731,Humans
10.3389/fsufs.2023.1134100,Humans
10.22434/IFAMR2022.0017,Humans
10.3390/foods12142645,Humans
10.1089/space.2019.0018,Humans
10.3390/su12114377,Humans
10.3389/fnut.2023.1196475,Humans
10.3389/fsufs.2022.1056615,Humans
10.3390/foods12071384,Humans
10.1007/s10806-015-9573-8,Humans
10.3390/gels8020094,Humans
10.3390/cells13020135,Humans
10.1007/s11626-024-00971-7,Humans
10.1016/j.foodres.2024.113965,Humans
10.3389/fnut.2023.1197111,Humans
10.1016/j.fufo.2024.100297,Humans
10.1021/acsami.2c10620,Humans
10.1016/j.appet.2024.107240,Humans
10.3828/extr.2022.11,Humans
10.1016/j.fufo.2024.100443,Humans
10.1108/BFJ-09-2021-0987,Humans
10.1016/j.foodqual.2024.105208,Humans
10.1016/j.appet.2017.03.009,Humans
10.1080/08941920.2017.1304599,Humans
10.1016/j.jfoodeng.2024.112259,Humans
10.1016/j.foodpol.2022.102307,Humans
10.1016/j.scitotenv.2023.164988,Humans
10.3390/nu15214649,Humans
10.1038/s42003-022-03423-8,Humans
10.1186/s40100-023-00278-3,Humans
10.3390/bioengineering11080854,Humans
10.1111/faf.12541,Humans
10.3390/su141912501,Humans
10.1155/2024/1027972,Humans
10.1159/000511764,Humans
10.1016/j.foodres.2022.111561,Humans
10.1016/j.foodres.2022.111818,Humans
10.3389/fsufs.2023.1302511,Humans
10.1039/d1fo04340d,Humans
10.1002/fft2.165,Humans
10.1016/j.foodhyd.2024.110369,Humans
10.1002/adsu.202300499,Humans
10.1007/s11569-018-0330-0,Humans
10.1016/j.foodqual.2024.105102,Humans
10.1177/0963662516639001,Humans
10.1016/j.foodhyd.2022.107632,Humans
10.3390/foods12142682,Humans
10.1371/journal.pone.0251432,Humans
10.3389/fsufs.2024.1294390,Humans
10.1108/BFJ-01-2018-0025,Humans
10.1177/09717218221075158,Humans
10.3389/fnut.2019.00103,Humans
10.3390/su13158235,Humans
10.3389/fcell.2023.1193634,Humans
10.3390/nu13041284,Humans
10.1016/j.MEATsci.2022.108964,Humans
10.1038/s41538-021-00090-7,Humans
10.3390/nu15132935,Humans
10.1016/j.biomaterials.2022.121669,Humans
10.1080/22041451.2024.2324405,Humans
10.1038/s41538-021-00121-3,Humans
10.1016/j.foodchem.2024.140696,Humans
10.1016/j.foodres.2022.111952,Humans
10.1038/s41598-024-59767-0,Humans
10.3389/fsufs.2019.00128,Humans
10.1016/j.foodcont.2021.108336,Humans
10.1016/j.scitotenv.2022.158051,Humans
10.1038/s41538-022-00155-1,Humans
10.1080/01292986.2024.2342827,Humans
10.1007/s11367-015-0931-6,Humans
10.1016/j.fbio.2024.103819,Humans
10.3390/jfb14040218,Humans
10.1177/2514848620963125,Humans
10.3390/foods10112537,Humans
10.3389/fsufs.2019.00011,Humans
10.1016/j.foodqual.2023.105032,Humans
10.3389/fbioe.2022.895289,Humans
10.1111/ajsp.12609,Humans
10.1016/j.ijbiomac.2024.134242,Humans
10.1016/j.foodhyd.2024.110156,Humans
10.1016/j.biomaterials.2021.121267,Humans
10.3389/fsufs.2021.594650,Humans
10.1016/j.biomaterials.2022.121602,Humans
10.3390/su14126956,Humans
10.3389/fnut.2024.1401715,Humans
10.1016/j.heliyon.2024.e38006,Humans
10.1016/j.crfs.2023.100545,Humans
10.1080/00036846.2024.2408035,Humans
10.1177/14614448221122211,Humans
10.5851/kosfa.2024.e72,Humans
10.1016/j.jfutfo.2021.09.005,Humans
10.1111/japp.12056,Humans
10.1057/s41599-022-01316-z,Humans
10.1016/j.jfoodeng.2023.111627,Humans
10.1002/cyto.a.24737,Humans
10.1002/bit.27848,Humans
10.3390/su15129253,Humans
10.1016/j.biomaterials.2022.121487,Humans
10.3390/foods11213364,Humans
10.1016/j.foodres.2023.113794,Humans
10.1002/elsc.202300005,Humans
10.1016/j.MEATsci.2022.108776,Humans
10.1016/j.foodqual.2023.105060,Humans
10.1007/s12571-023-01390-4,Humans
10.1007/s10943-017-0403-3,Humans
10.1016/j.jafr.2022.100358,Humans
10.1016/j.foodres.2024.114425,Humans
10.1016/j.foodqual.2022.104573,Humans
10.1007/s11569-017-0282-9,Humans
10.1038/s41598-024-68247-4,Humans
10.1007/s11356-022-23597-2,Humans
10.3934/agrfood.2024021,Humans
10.1016/j.biomaterials.2022.121543,Humans
10.1016/j.fbio.2023.102923,Humans
10.1016/j.isci.2022.105054,Humans
10.1038/s41467-021-25236-9,Humans
10.1002/bit.27469,Humans
10.3390/foods9020185,Humans
10.1016/j.appet.2016.10.002,Humans
10.1038/s41467-023-44001-8,Humans
10.3390/foods11193037,Humans
10.1016/j.biomaterials.2022.121659,Humans
10.3390/su152316164,Humans
10.1016/j.matdes.2024.112992,Humans
10.1016/j.MEATsci.2022.109081,Humans
10.3390/su15054009,Humans
10.1038/s41538-024-00257-y,Humans
10.1016/j.ecolecon.2021.107329,Humans
10.1016/j.biomaterials.2021.121107,Humans
10.1108/BFJ-02-2020-0092,Humans
10.1016/j.fbio.2022.101766,Humans
10.1016/j.foodhyd.2024.110412,Humans
10.1016/j.MEATsci.2023.109191,Humans
10.1016/j.foodpol.2022.102376,Humans
10.3390/biom12060838,Humans
10.1177/2514848619827009,Humans
10.3389/fsufs.2024.1341151,Humans
10.1080/09505431.2016.1171836,Humans
10.1016/j.jfca.2024.106663,Increasing Food Security
10.1002/bit.28324,Increasing Food Security
10.1016/j.ifset.2024.103734,Increasing Food Security
10.3389/fsufs.2023.1127164,Increasing Food Security
10.1016/j.livsci.2021.104705,Increasing Food Security
10.1016/j.MEATsci.2019.04.004,Increasing Food Security
10.3389/fsufs.2023.1160458,Increasing Food Security
10.1038/s41538-019-0041-0,Increasing Food Security
10.1016/j.techsoc.2022.102116,Increasing Food Security
10.1016/j.appet.2022.106392,Increasing Food Security
10.1038/s41598-018-28746-7,Increasing Food Security
10.1371/journal.pone.0290169,Increasing Food Security
10.1016/j.fbio.2022.101571,Increasing Food Security
10.3390/foods13040563,Increasing Food Security
10.1038/s41538-022-00172-0,Increasing Food Security
10.1038/s41538-022-00157-z,Increasing Food Security
10.5851/kosfa.2022.e61,Increasing Food Security
10.1007/s10806-019-09759-2,Increasing Food Security
10.1016/j.fbio.2023.102910,Increasing Food Security
10.3390/foods10112588,Increasing Food Security
10.1016/j.foodres.2023.113757,Increasing Food Security
10.1016/j.foodqual.2021.104226,Increasing Food Security
10.1016/S2095-3119(14)60886-8,Increasing Food Security
10.1021/acsabm.3c00944,Increasing Food Security
10.3390/nu11081904,Increasing Food Security
10.1038/s41538-024-00262-1,Increasing Food Security
10.3390/bios14010024,Increasing Food Security
10.1016/j.foodhyd.2024.109944,Increasing Food Security
10.1016/j.livsci.2022.104909,Increasing Food Security
10.1016/j.carbpol.2023.121287,Increasing Food Security
10.1016/j.appet.2022.105990,Increasing Food Security
10.1016/j.biomaterials.2022.121649,Increasing Food Security
10.3390/conservation3020021,Increasing Food Security
10.1016/j.biomaterials.2021.121155,Increasing Food Security
10.1371/journal.pone.0221129,Increasing Food Security
10.1016/j.appet.2020.104860,Increasing Food Security
10.1016/j.crfs.2024.100841,Increasing Food Security
10.3390/foods13091358,Increasing Food Security
10.1016/j.crbiot.2024.100241,Increasing Food Security
10.3389/fsufs.2023.1134100,Increasing Food Security
10.22434/IFAMR2022.0017,Increasing Food Security
10.3390/su12114377,Increasing Food Security
10.3389/fsufs.2022.1056615,Increasing Food Security
10.3390/foods12071384,Increasing Food Security
10.1007/s10806-015-9573-8,Increasing Food Security
10.3390/gels8020094,Increasing Food Security
10.3390/cells13020135,Increasing Food Security
10.1007/s11626-024-00971-7,Increasing Food Security
10.3389/fnut.2023.1197111,Increasing Food Security
10.1016/j.fufo.2024.100297,Increasing Food Security
10.1021/acsami.2c10620,Increasing Food Security
10.1016/j.appet.2024.107240,Increasing Food Security
10.3828/extr.2022.11,Increasing Food Security
10.1016/j.fufo.2024.100443,Increasing Food Security
10.1108/BFJ-09-2021-0987,Increasing Food Security
10.1016/j.foodqual.2024.105208,Increasing Food Security
10.1016/j.appet.2017.03.009,Increasing Food Security
10.1016/j.jfoodeng.2024.112259,Increasing Food Security
10.1016/j.foodpol.2022.102307,Increasing Food Security
10.1016/j.scitotenv.2023.164988,Increasing Food Security
10.3390/nu15214649,Increasing Food Security
10.1186/s40100-023-00278-3,Increasing Food Security
10.3390/bioengineering11080854,Increasing Food Security
10.1111/faf.12541,Increasing Food Security
10.3390/su141912501,Increasing Food Security
10.1155/2024/1027972,Increasing Food Security
10.1159/000511764,Increasing Food Security
10.1016/j.foodres.2022.111561,Increasing Food Security
10.1016/j.foodres.2022.111818,Increasing Food Security
10.3389/fsufs.2023.1302511,Increasing Food Security
10.1039/d1fo04340d,Increasing Food Security
10.1002/fft2.165,Increasing Food Security
10.1016/j.foodhyd.2024.110369,Increasing Food Security
10.1002/adsu.202300499,Increasing Food Security
10.1007/s11569-018-0330-0,Increasing Food Security
10.1177/0963662516639001,Increasing Food Security
10.1016/j.foodhyd.2022.107632,Increasing Food Security
10.3390/foods12142682,Increasing Food Security
10.3389/fsufs.2024.1294390,Increasing Food Security
10.1108/BFJ-01-2018-0025,Increasing Food Security
10.1177/09717218221075158,Increasing Food Security
10.3389/fnut.2019.00103,Increasing Food Security
10.3389/fcell.2023.1193634,Increasing Food Security
10.1016/j.MEATsci.2022.108964,Increasing Food Security
10.1038/s41538-021-00090-7,Increasing Food Security
10.3390/nu15132935,Increasing Food Security
10.1016/j.biomaterials.2022.121669,Increasing Food Security
10.1080/22041451.2024.2324405,Increasing Food Security
10.1038/s41538-021-00121-3,Increasing Food Security
10.1016/j.foodres.2022.111952,Increasing Food Security
10.3389/fsufs.2019.00128,Increasing Food Security
10.1038/s41538-022-00155-1,Increasing Food Security
10.1080/01292986.2024.2342827,Increasing Food Security
10.1007/s11367-015-0931-6,Increasing Food Security
10.1016/j.fbio.2024.103819,Increasing Food Security
10.3390/jfb14040218,Increasing Food Security
10.1177/2514848620963125,Increasing Food Security
10.3390/foods10112537,Increasing Food Security
10.3389/fsufs.2019.00011,Increasing Food Security
10.3389/fbioe.2022.895289,Increasing Food Security
10.1111/ajsp.12609,Increasing Food Security
10.1016/j.ijbiomac.2024.134242,Increasing Food Security
10.1016/j.foodhyd.2024.110156,Increasing Food Security
10.3389/fsufs.2021.594650,Increasing Food Security
10.1016/j.biomaterials.2022.121602,Increasing Food Security
10.3390/su14126956,Increasing Food Security
10.3389/fnut.2024.1401715,Increasing Food Security
10.1016/j.heliyon.2024.e38006,Increasing Food Security
10.1016/j.crfs.2023.100545,Increasing Food Security
10.1080/00036846.2024.2408035,Increasing Food Security
10.1177/14614448221122211,Increasing Food Security
10.1057/s41599-022-01316-z,Increasing Food Security
10.1016/j.jfoodeng.2023.111627,Increasing Food Security
10.1002/cyto.a.24737,Increasing Food Security
10.1016/j.biomaterials.2022.121487,Increasing Food Security
10.3390/foods11213364,Increasing Food Security
10.1016/j.foodres.2023.113794,Increasing Food Security
10.1016/j.MEATsci.2022.108776,Increasing Food Security
10.1016/j.foodqual.2023.105060,Increasing Food Security
10.1007/s12571-023-01390-4,Increasing Food Security
10.1007/s10943-017-0403-3,Increasing Food Security
10.1016/j.jafr.2022.100358,Increasing Food Security
10.1016/j.foodqual.2022.104573,Increasing Food Security
10.1007/s11569-017-0282-9,Increasing Food Security
10.1038/s41598-024-68247-4,Increasing Food Security
10.1007/s11356-022-23597-2,Increasing Food Security
10.3934/agrfood.2024021,Increasing Food Security
10.1016/j.biomaterials.2022.121543,Increasing Food Security
10.1016/j.isci.2022.105054,Increasing Food Security
10.1002/bit.27469,Increasing Food Security
10.3390/foods9020185,Increasing Food Security
10.1038/s41467-023-44001-8,Increasing Food Security
10.3390/foods11193037,Increasing Food Security
10.1016/j.biomaterials.2022.121659,Increasing Food Security
10.3390/su152316164,Increasing Food Security
10.1016/j.matdes.2024.112992,Increasing Food Security
10.1038/s41538-024-00257-y,Increasing Food Security
10.1016/j.ecolecon.2021.107329,Increasing Food Security
10.1108/BFJ-02-2020-0092,Increasing Food Security
10.1016/j.fbio.2022.101766,Increasing Food Security
10.1016/j.foodhyd.2024.110412,Increasing Food Security
10.1016/j.MEATsci.2023.109191,Increasing Food Security
10.1016/j.foodpol.2022.102376,Increasing Food Security
10.3390/biom12060838,Increasing Food Security
10.1177/2514848619827009,Increasing Food Security
10.3389/fsufs.2024.1341151,Increasing Food Security
10.1080/09505431.2016.1171836,Increasing Food Security
10.3389/fsufs.2023.1160458,Information is kept proprietary
10.1016/j.scitotenv.2023.164988,Information is kept proprietary
10.3390/foods12142645,Information is kept proprietary
10.1177/2514848620963125,Information is kept proprietary
10.1016/j.jfca.2024.106663,Investments
10.1002/bit.28324,Investments
10.3389/fsufs.2023.1160458,Investments
10.1038/s41538-019-0041-0,Investments
10.1002/cite.202200151,Investments
10.1016/j.biomaterials.2021.121155,Investments
10.3389/fsufs.2023.1104731,Investments
10.3389/fsufs.2023.1134100,Investments
10.22434/IFAMR2022.0017,Investments
10.3390/foods12142645,Investments
10.1089/space.2019.0018,Investments
10.1016/j.bej.2020.107864,Investments
10.1016/j.appet.2024.107240,Investments
10.1002/bit.27848,Investments
10.3389/fsufs.2023.1160458,It is disconnected from Nature
10.3389/fsufs.2023.1134100,It is disconnected from Nature
10.3390/su13158235,It is disconnected from Nature
10.1111/japp.12056,It is disconnected from Nature
10.3389/fsufs.2023.1127164,Job loss
10.3389/fsufs.2023.1134100,Job loss
10.1016/j.ces.2019.115269,Job loss
10.3389/fsufs.2022.1056615,Job loss
10.3389/fnut.2023.1197111,Job loss
10.1108/BFJ-09-2021-0987,Job loss
10.1371/journal.pone.0251432,Job loss
10.1016/j.MEATsci.2022.108964,Job loss
10.1080/01292986.2024.2342827,Job loss
10.1057/s41599-022-01316-z,Job loss
10.3390/su15129253,Job loss
10.1016/j.MEATsci.2022.108776,Job loss
10.3934/agrfood.2024021,Job loss
10.1016/j.MEATsci.2023.109191,Job loss
10.1002/bit.28324,Land Use or Land Change
10.1016/j.ifset.2024.103734,Land Use or Land Change
10.3389/fsufs.2023.1160458,Land Use or Land Change
10.1353/con.2013.0013,Land Use or Land Change
10.1038/s41538-019-0041-0,Land Use or Land Change
10.1016/j.biomaterials.2022.121615,Land Use or Land Change
10.1016/j.techsoc.2022.102116,Land Use or Land Change
10.1016/j.foodpol.2020.101931,Land Use or Land Change
10.3390/cells13010041,Land Use or Land Change
10.1038/s41538-022-00172-0,Land Use or Land Change
10.5851/kosfa.2024.e46,Land Use or Land Change
10.1016/j.fbio.2023.102910,Land Use or Land Change
10.3390/foods10112588,Land Use or Land Change
10.1016/j.foodres.2023.113757,Land Use or Land Change
10.1016/S2095-3119(14)60886-8,Land Use or Land Change
10.3390/nu11081904,Land Use or Land Change
10.1016/j.livsci.2022.104909,Land Use or Land Change
10.1016/j.carbpol.2023.121287,Land Use or Land Change
10.1016/j.appet.2022.105990,Land Use or Land Change
10.1016/j.biomaterials.2022.121649,Land Use or Land Change
10.3390/conservation3020021,Land Use or Land Change
10.1016/j.fbio.2022.101571,Land Use or Land Change
10.3389/fnut.2020.00148,Land Use or Land Change
10.1002/cite.202200151,Land Use or Land Change
10.1371/journal.pone.0221129,Land Use or Land Change
10.3390/foods13091358,Land Use or Land Change
10.3389/fsufs.2023.1134100,Land Use or Land Change
10.22434/IFAMR2022.0017,Land Use or Land Change
10.1089/space.2019.0018,Land Use or Land Change
10.3390/su12114377,Land Use or Land Change
10.3390/gels8020094,Land Use or Land Change
10.1007/s11626-024-00971-7,Land Use or Land Change
10.5187/jast.2023.e10,Land Use or Land Change
10.1016/j.fufo.2024.100297,Land Use or Land Change
10.1021/acsami.2c10620,Land Use or Land Change
10.1016/j.appet.2024.107240,Land Use or Land Change
10.3828/extr.2022.11,Land Use or Land Change
10.1016/j.foodqual.2024.105208,Land Use or Land Change
10.1016/j.jfoodeng.2024.112259,Land Use or Land Change
10.1016/j.foodpol.2022.102307,Land Use or Land Change
10.3390/nu15214649,Land Use or Land Change
10.1038/s42003-022-03423-8,Land Use or Land Change
10.3390/bioengineering11080854,Land Use or Land Change
10.3390/su141912501,Land Use or Land Change
10.1159/000511764,Land Use or Land Change
10.1002/adsu.202300499,Land Use or Land Change
10.1007/s11569-018-0330-0,Land Use or Land Change
10.1177/0963662516639001,Land Use or Land Change
10.3390/foods12142682,Land Use or Land Change
10.1108/BFJ-01-2018-0025,Land Use or Land Change
10.1177/09717218221075158,Land Use or Land Change
10.3389/fcell.2023.1193634,Land Use or Land Change
10.3390/nu13041284,Land Use or Land Change
10.1038/s41538-021-00090-7,Land Use or Land Change
10.1016/j.biomaterials.2022.121669,Land Use or Land Change
10.1016/j.foodres.2022.111952,Land Use or Land Change
10.1016/j.scitotenv.2022.158051,Land Use or Land Change
10.3390/jfb14040218,Land Use or Land Change
10.1177/2514848620963125,Land Use or Land Change
10.3390/foods10112537,Land Use or Land Change
10.3389/fsufs.2019.00011,Land Use or Land Change
10.1111/ajsp.12609,Land Use or Land Change
10.1016/j.biomaterials.2021.121267,Land Use or Land Change
10.3389/fsufs.2021.594650,Land Use or Land Change
10.3389/fnut.2024.1401715,Land Use or Land Change
10.1016/j.heliyon.2024.e38006,Land Use or Land Change
10.1080/00036846.2024.2408035,Land Use or Land Change
10.1111/japp.12056,Land Use or Land Change
10.3390/su15129253,Land Use or Land Change
10.1016/j.foodres.2023.113794,Land Use or Land Change
10.1007/s10943-017-0403-3,Land Use or Land Change
10.1016/j.jafr.2022.100358,Land Use or Land Change
10.1016/j.foodqual.2022.104573,Land Use or Land Change
10.1007/s11569-017-0282-9,Land Use or Land Change
10.1038/s41598-024-68247-4,Land Use or Land Change
10.3934/agrfood.2024021,Land Use or Land Change
10.1016/j.isci.2022.105054,Land Use or Land Change
10.1002/bit.27469,Land Use or Land Change
10.3390/foods9020185,Land Use or Land Change
10.1016/j.biomaterials.2022.121659,Land Use or Land Change
10.3390/su152316164,Land Use or Land Change
10.1016/j.MEATsci.2022.109081,Land Use or Land Change
10.1108/BFJ-02-2020-0092,Land Use or Land Change
10.1016/j.bbrc.2023.10.018,Land Use or Land Change
10.1016/j.foodhyd.2024.110412,Land Use or Land Change
10.1038/s41538-019-0054-8,Land Use or Land Change
10.1016/j.MEATsci.2023.109191,Land Use or Land Change
10.1016/j.foodpol.2022.102376,Land Use or Land Change
10.3390/biom12060838,Land Use or Land Change
10.1080/09505431.2016.1171836,Land Use or Land Change
10.1016/j.jfca.2024.106663,Livestock
10.1002/bit.28324,Livestock
10.1016/j.ifset.2024.103734,Livestock
10.1016/j.livsci.2021.104705,Livestock
10.1016/j.MEATsci.2019.04.004,Livestock
10.1353/con.2013.0013,Livestock
10.1016/j.biomaterials.2022.121615,Livestock
10.1016/j.techsoc.2022.102116,Livestock
10.1016/j.appet.2022.106392,Livestock
10.1016/j.foodpol.2020.101931,Livestock
10.1007/s10806-017-9654-y,Livestock
10.1038/s41598-018-28746-7,Livestock
10.1016/j.foodres.2023.113617,Livestock
10.1021/acs.jafc.3c06638,Livestock
10.1371/journal.pone.0290169,Livestock
10.3390/cells13010041,Livestock
10.1038/s41538-022-00172-0,Livestock
10.5851/kosfa.2022.e61,Livestock
10.1007/s10806-019-09759-2,Livestock
10.5851/kosfa.2024.e46,Livestock
10.1016/j.fbio.2023.102910,Livestock
10.3390/foods10112588,Livestock
10.1016/j.foodqual.2021.104226,Livestock
10.1016/S2095-3119(14)60886-8,Livestock
10.1038/s41538-024-00262-1,Livestock
10.3390/bios14010024,Livestock
10.1016/j.foodhyd.2024.109944,Livestock
10.1016/j.livsci.2022.104909,Livestock
10.1016/j.carbpol.2023.121287,Livestock
10.1016/j.appet.2022.105990,Livestock
10.1016/j.biomaterials.2022.121649,Livestock
10.1080/09505431.2018.1544232,Livestock
10.3390/conservation3020021,Livestock
10.3389/fsufs.2023.1127164,Livestock
10.1016/j.meatsci.2019.04.004,Livestock
10.1016/j.fbio.2022.101571,Livestock
10.3389/fnut.2020.00148,Livestock
10.1002/cite.202200151,Livestock
10.1371/journal.pone.0221129,Livestock
10.1016/j.crfs.2024.100841,Livestock
10.3390/foods13091358,Livestock
10.1016/j.crbiot.2024.100241,Livestock
10.3389/fsufs.2023.1104731,Livestock
10.3389/fsufs.2023.1134100,Livestock
10.22434/IFAMR2022.0017,Livestock
10.3390/foods12142645,Livestock
10.1089/space.2019.0018,Livestock
10.3389/fnut.2023.1196475,Livestock
10.3389/fsufs.2022.1056615,Livestock
10.1007/s10806-015-9573-8,Livestock
10.3390/gels8020094,Livestock
10.1007/s11626-024-00971-7,Livestock
10.5187/jast.2023.e10,Livestock
10.1016/j.foodres.2024.113965,Livestock
10.1016/j.fufo.2024.100297,Livestock
10.1021/acsami.2c10620,Livestock
10.1016/j.appet.2024.107240,Livestock
10.3828/extr.2022.11,Livestock
10.1016/j.appet.2024.107297,Livestock
10.1016/j.fufo.2024.100443,Livestock
10.1108/BFJ-09-2021-0987,Livestock
10.1016/j.foodpol.2022.102307,Livestock
10.3390/nu15214649,Livestock
10.1038/s42003-022-03423-8,Livestock
10.3390/bioengineering11080854,Livestock
10.1155/2024/1027972,Livestock
10.1016/j.foodres.2022.111561,Livestock
10.1016/j.foodres.2022.111818,Livestock
10.1039/d1fo04340d,Livestock
10.1016/j.foodhyd.2024.110369,Livestock
10.1002/adsu.202300499,Livestock
10.1007/s11569-018-0330-0,Livestock
10.1177/0963662516639001,Livestock
10.1016/j.foodhyd.2022.107632,Livestock
10.3390/foods12142682,Livestock
10.1371/journal.pone.0251432,Livestock
10.1177/09717218221075158,Livestock
10.3389/fnut.2019.00103,Livestock
10.1038/s41467-024-49521-5,Livestock
10.3390/su13158235,Livestock
10.3390/nu13041284,Livestock
10.1016/j.MEATsci.2022.108964,Livestock
10.1080/22041451.2024.2324405,Livestock
10.1038/s41538-021-00121-3,Livestock
10.1016/j.foodres.2022.111952,Livestock
10.1080/01292986.2024.2342827,Livestock
10.3390/jfb14040218,Livestock
10.1177/2514848620963125,Livestock
10.3389/fsufs.2019.00011,Livestock
10.1016/j.foodqual.2023.105032,Livestock
10.3389/fbioe.2022.895289,Livestock
10.1111/ajsp.12609,Livestock
10.5851/kosfa.2020.e39,Livestock
